id;name;url;team;position;value;growth;goals;assists;red;yellow;shots;saves;games_played;popularity;trend;index
pape_ndiaye_souare;Pape Ndiaye  Souare;/da/premier-league-fantasy-fall-2018/players/pape_ndiaye_souare;Crystal Palace;Forsvar;2027000;27.000;-;-;-;-;-;-;25%;0.003;0,3%;-3
aaron_wan_bissaka;Aaron Wan-Bissaka;/da/premier-league-fantasy-fall-2018/players/aaron_wan_bissaka;Crystal Palace;Forsvar;2027000;27.000;-;1;1;1;-;-;75%;0.126;12,6%;42
martin_kelly;Martin Kelly;/da/premier-league-fantasy-fall-2018/players/martin_kelly;Crystal Palace;Forsvar;1942000;-58.000;-;-;-;-;-;-;50%;0.006;0,6%;1
luka_milivojevic;Luka Milivojevic;/da/premier-league-fantasy-fall-2018/players/luka_milivojevic;Crystal Palace;Midtbane;3500000;-;-;-;-;-;2;-;100%;0.12;12,0%;-82
andros_townsend;Andros Townsend;/da/premier-league-fantasy-fall-2018/players/andros_townsend;Crystal Palace;Midtbane;3016000;16.000;-;-;-;-;2;-;100%;0.04;4,0%;-45
james_mcarthur;James McArthur;/da/premier-league-fantasy-fall-2018/players/james_mcarthur;Crystal Palace;Midtbane;3000000;-;-;-;-;-;2;-;100%;0.015;1,5%;-4
jonathan_williams;Jonathan Williams;/da/premier-league-fantasy-fall-2018/players/jonathan_williams;Crystal Palace;Midtbane;1980000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-
jordon_mutch;Jordon Mutch;/da/premier-league-fantasy-fall-2018/players/jordon_mutch;Crystal Palace;Midtbane;1980000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-1
sulay_kaikai;Sullay Kaikai;/da/premier-league-fantasy-fall-2018/players/sulay_kaikai;Crystal Palace;Midtbane;1980000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
jason_puncheon;Jason Puncheon;/da/premier-league-fantasy-fall-2018/players/jason_puncheon;Crystal Palace;Midtbane;1980000;-20.000;-;-;-;-;-;-;0%;0.003;0,3%;-3
jairo_riedewald;Jairo Riedewald;/da/premier-league-fantasy-fall-2018/players/jairo_riedewald;Crystal Palace;Midtbane;1980000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-1
alexander_sorloth;Alexander Sørloth;/da/premier-league-fantasy-fall-2018/players/alexander_sorloth;Crystal Palace;Angreb;2482000;-18.000;-;-;-;-;-;-;100%;0.023;2,3%;-16
wilfried_zaha;Wilfried Zaha;/da/premier-league-fantasy-fall-2018/players/wilfried_zaha;Crystal Palace;Angreb;5189000;189.000;2;-;-;2;2;-;75%;0.106;10,6%;-105
christian_benteke;Christian Benteke;/da/premier-league-fantasy-fall-2018/players/christian_benteke;Crystal Palace;Angreb;4538000;38.000;-;-;-;-;5;-;100%;0.015;1,5%;-4
connor_wickham;Connor Wickham;/da/premier-league-fantasy-fall-2018/players/connor_wickham;Crystal Palace;Angreb;1980000;-20.000;-;-;-;-;-;-;0%;0.002;0,2%;3
richarlison;Richarlison;/da/premier-league-fantasy-fall-2018/players/richarlison;Everton;Angreb;4327000;327.000;3;-;1;1;-;-;75%;0.186;18,6%;70
jordan_pickford;Jordan Pickford;/da/premier-league-fantasy-fall-2018/players/jordan_pickford;Everton;Mål;5165000;165.000;-;-;-;-;-;15;100%;0.125;12,5%;-29
maarten_stekelenburg;Maarten Stekelenburg;/da/premier-league-fantasy-fall-2018/players/maarten_stekelenburg;Everton;Mål;4480000;-20.000;-;-;-;-;-;-;0%;0.001;0,1%;-2
mateusz_hewelt;Mateusz Hewelt;/da/premier-league-fantasy-fall-2018/players/mateusz_hewelt;Everton;Mål;3480000;-20.000;-;-;-;-;-;-;0%;0;0,0%;-
morgan_schneiderlin;Morgan Schneiderlin;/da/premier-league-fantasy-fall-2018/players/morgan_schneiderlin;Everton;Midtbane;3107000;107.000;-;1;-;1;1;-;75%;0.012;1,2%;4
